lat,long,count
43.30333,2.64274,1
43.64912,2.65105,1
43.45982,2.68241,1
43.59427,2.68683,1
43.28327,2.73143,1
43.44755,2.73484,1
43.32789,2.74174,1
43.46055,2.75069,1
43.45242,2.75151,1
43.30067,2.75252,1
43.48908,2.75775,1
43.48891,2.75814,1
43.48849,2.76057,1
43.28481,2.76128,1
43.48573,2.78103,1
43.48557,2.78106,1
43.50103,2.79126,1
43.5194,2.81524,1
43.52916,2.83445,1
43.45123,2.90462,1
43.68556,2.93777,1
43.57192,2.94559,1
43.44704,2.94781,1
43.31871,2.95259,1
43.68326,2.96144,1
43.41809,2.97173,1
43.35696,2.99508,1
43.31748,3.01185,1
43.46336,3.02561,1
43.31215,3.03177,1
43.32564,3.03827,1
43.4557,3.03838,1
43.32928,3.04761,1
43.66259,3.08162,1
43.58719,3.0837,1
43.32293,3.0913,1
43.38907,3.10679,1
43.63621,3.10935,1
43.28719,3.11018,1
43.45724,3.11335,1
43.29387,3.11467,1
43.43634,3.1153,1
43.29348,3.12713,1
43.41329,3.1375,1
43.36348,3.1426,1
43.4242,3.14443,1
43.6094,3.1487,1
43.36741,3.15621,1
43.3332,3.15661,1
43.27546,3.16363,1
43.64748,3.16459,1
43.64087,3.16583,1
43.30839,3.16793,1
43.41104,3.16932,1
43.56386,3.17539,1
43.26835,3.178,3
43.28593,3.17959,1
43.31532,3.18101,1
43.56918,3.18346,1
43.33168,3.18563,1
43.49711,3.18788,1
43.55485,3.19501,1
43.38893,3.19553,1
43.40218,3.19576,1
43.3379,3.20346,1
43.47585,3.20701,1
43.37177,3.20868,1
43.33913,3.21024,1
43.36669,3.21305,1
43.3484,3.21435,1
43.35144,3.21448,1
43.33905,3.2153,1
43.43763,3.21587,1
43.34363,3.21593,1
43.32958,3.21659,1
43.353,3.21848,1
43.28143,3.22114,1
43.34131,3.22204,1
43.53558,3.22246,1
43.35019,3.22303,1
43.35406,3.22392,1
43.33996,3.2246,1
43.33952,3.22524,1
43.34388,3.22714,1
43.40155,3.22902,1
43.40808,3.22917,1
43.354,3.23023,1
43.3516,3.23085,1
43.34453,3.23156,1
43.46094,3.23458,1
43.3639,3.2385,1
43.3064,3.23968,4
43.41421,3.24007,1
43.40994,3.24111,1
43.33787,3.24139,1
43.71949,3.24507,1
43.71956,3.24509,1
43.2963,3.24598,1
43.34773,3.24726,1
43.3347,3.2515,1
43.33743,3.2517,1
43.3455,3.25507,1
43.32352,3.26338,1
43.72302,3.27403,1
43.26881,3.27514,1
43.32922,3.27747,1
43.43038,3.28062,1
43.27976,3.28199,1
43.27557,3.28247,1
43.27556,3.28393,1
43.26949,3.28438,1
43.28292,3.28452,1
43.25388,3.28755,1
43.32096,3.28786,1
43.28737,3.28973,1
43.24477,3.29053,1
43.32187,3.29289,1
43.32053,3.29391,1
43.28197,3.29601,1
43.45656,3.29718,1
43.3,3.3,2
43.27494,3.30033,1
43.41264,3.30155,1
43.35677,3.3062,1
43.88582,3.30894,1
43.39245,3.32289,1
43.39265,3.323,1
43.73106,3.32394,1
43.85891,3.32466,1
43.79333,3.32631,1
43.39485,3.32716,1
43.72952,3.32723,1
43.74515,3.33079,1
43.30455,3.33193,1
43.64772,3.33271,1
43.69166,3.34839,1
43.69112,3.34942,1
43.39855,3.34989,1
43.42809,3.35589,1
43.31401,3.35816,1
43.40931,3.35891,1
43.29517,3.3613,1
43.35793,3.37119,1
43.49122,3.38645,1
43.31334,3.38959,1
43.36296,3.39237,1
43.47411,3.40113,1
43.39146,3.40369,1
43.29942,3.40371,1
43.40187,3.4117,1
43.30084,3.41262,1
43.78222,3.41335,1
43.31339,3.41501,1
43.78518,3.4153,1
43.35929,3.41556,1
43.44198,3.41694,1
43.63614,3.41835,1
43.36452,3.42012,1
43.51637,3.42677,1
43.47269,3.43652,1
43.38168,3.43702,1
43.37732,3.43769,1
43.73063,3.44036,1
43.48936,3.44347,1
43.49849,3.44472,1
43.65432,3.44783,1
43.64905,3.44963,1
43.65494,3.45114,1
43.46725,3.45248,1
43.5515,3.45335,1
43.54216,3.45784,1
43.32883,3.4584,1
43.3,3.46,1
43.303,3.4609,1
43.61338,3.46095,1
43.54033,3.46175,1
43.47863,3.46219,1
43.66283,3.46225,1
43.29133,3.46237,1
43.64659,3.46281,2
43.3005,3.46311,1
43.38555,3.46394,1
43.47883,3.46421,1
43.56588,3.46591,1
43.28694,3.46733,1
43.31472,3.4696,1
43.30313,3.46998,1
43.29,3.47,1
43.3127,3.47393,1
43.29745,3.47484,1
43.30795,3.47653,1
43.30877,3.47684,1
43.29401,3.48038,1
43.7938,3.48083,1
43.57317,3.48193,1
43.59837,3.48324,1
43.30396,3.48453,1
43.52832,3.48512,1
43.30423,3.4863,1
43.59907,3.48962,1
43.3,3.49,1
43.65865,3.49151,1
43.64245,3.49736,1
43.28221,3.49816,1
43.36007,3.49911,1
43.59792,3.50108,1
43.38548,3.50151,1
43.28294,3.50294,1
43.85482,3.50636,1
43.41083,3.50785,1
43.28,3.51,1
43.65081,3.51013,1
43.40507,3.51048,1
43.37404,3.51823,1
43.84773,3.51942,1
43.35474,3.52477,1
43.63724,3.53488,1
43.65097,3.54094,1
43.64469,3.54172,1
43.5316,3.54342,1
43.64924,3.54436,1
43.64904,3.54449,1
43.59359,3.54862,1
43.31508,3.55192,1
43.65511,3.55458,1
43.42704,3.55747,1
43.65679,3.56174,1
43.4363,3.56611,2
43.44515,3.57514,1
43.63872,3.57888,1
43.62902,3.59283,1
43.48929,3.60357,1
43.42948,3.60851,1
43.46074,3.61889,2
43.46339,3.62673,1
43.6249,3.64111,1
43.66265,3.64451,1
43.4491,3.64528,1
43.39016,3.65049,1
43.39587,3.65913,1
43.49193,3.66273,1
43.47967,3.66842,1
43.39615,3.66921,1
43.40931,3.67331,1
43.46861,3.67415,1
43.44141,3.67739,1
43.411,3.6789,1
43.44895,3.67919,1
43.4418,3.67926,1
43.47161,3.68059,1
43.472,3.68204,1
43.51539,3.68432,1
43.40681,3.68436,1
43.41255,3.68539,1
43.46759,3.69105,1
43.51829,3.69209,1
43.40493,3.69211,1
43.41123,3.69238,1
43.5372,3.69238,1
43.52878,3.69364,1
43.40959,3.69419,1
43.52942,3.69473,1
43.44337,3.69668,1
43.44233,3.69766,1
43.6492,3.6996,1
43.48408,3.69984,1
43.43346,3.70232,1
43.48855,3.70332,1
43.40725,3.70376,1
43.41643,3.70635,1
43.56961,3.70699,1
43.42396,3.70825,1
43.93303,3.71042,1
43.42361,3.71218,1
43.49928,3.71375,1
43.50003,3.71454,1
43.63037,3.71631,1
43.42012,3.71744,1
43.43596,3.71952,1
43.49513,3.72098,3
43.5515,3.72284,1
43.92131,3.72555,1
43.59976,3.72721,1
43.91566,3.72817,1
43.56112,3.72894,1
43.562,3.72943,1
43.56803,3.7349,1
43.4339,3.7364,1
43.54686,3.73838,1
43.4362,3.75975,1
43.43788,3.76109,1
43.4487,3.76206,1
43.52323,3.76208,1
43.45722,3.76259,1
43.74549,3.76357,1
43.46785,3.76605,1
43.4207,3.7662,1
43.6263,3.76793,1
43.53265,3.77753,3
43.47163,3.78196,1
43.58587,3.78939,1
43.60828,3.79058,1
43.54341,3.79097,1
43.55541,3.79129,1
43.47161,3.79524,1
43.68348,3.79545,1
43.61684,3.7966,1
43.59006,3.80094,3
43.61012,3.80276,1
43.58495,3.80289,2
43.61137,3.80571,1
43.50619,3.80788,1
43.60663,3.80869,1
43.62322,3.81214,1
43.62694,3.81504,1
43.62164,3.81552,1
43.61523,3.81744,1
43.6229,3.81746,1
43.61557,3.81954,1
43.62832,3.81955,1
43.62456,3.81967,1
43.60868,3.82042,1
43.6085,3.82046,1
43.61619,3.82056,1
43.6091,3.8212,1
43.58947,3.82176,1
43.51671,3.82226,1
43.62938,3.82231,1
43.62947,3.82237,1
43.63057,3.82246,1
43.63741,3.82262,1
43.57543,3.82692,1
43.61266,3.82702,1
43.60119,3.82828,1
43.61137,3.82865,1
43.63857,3.82931,1
43.61118,3.82971,1
43.5937,3.83265,1
43.57533,3.8329,1
43.61021,3.83486,1
43.61018,3.83494,1
43.63757,3.83559,1
43.62518,3.83573,1
43.62554,3.83669,1
43.59574,3.83683,1
43.56552,3.83691,3
43.60638,3.83707,1
43.6064,3.83708,1
43.61846,3.83886,1
43.6129,3.8389,1
43.61362,3.83922,1
43.64348,3.83922,1
43.60905,3.83981,1
43.61524,3.83988,1
43.61358,3.84006,1
43.60915,3.84045,1
43.60904,3.84054,1
43.60035,3.84074,1
43.6312,3.8409,1
43.61622,3.84117,1
43.61354,3.8415,1
43.63052,3.84215,1
43.61695,3.84219,1
43.63173,3.84221,1
43.61322,3.84231,1
43.58569,3.84263,1
43.61781,3.84357,1
43.61288,3.84382,1
43.65573,3.84391,1
43.64401,3.84406,1
43.59616,3.84445,1
43.61826,3.84456,1
43.59606,3.84466,1
43.59665,3.84487,1
43.59669,3.84496,1
43.59668,3.84505,1
43.56192,3.84519,1
43.61277,3.84631,1
43.55248,3.84635,1
43.59926,3.84702,1
43.6388,3.8475,1
43.64082,3.84769,1
43.6344,3.84804,1
43.63436,3.84933,1
43.59475,3.84938,1
43.56951,3.84959,1
43.5949,3.84977,1
43.56847,3.8498,1
43.61994,3.84999,1
43.75708,3.85019,1
43.6199,3.85023,1
43.6388,3.85064,1
43.67131,3.85175,1
43.6015,3.85176,1
43.62546,3.85205,1
43.62418,3.85235,1
43.60875,3.8525,1
43.59266,3.85254,1
43.58675,3.85289,1
43.61489,3.85371,1
43.57521,3.85419,1
43.63915,3.85427,1
43.61719,3.85433,1
43.58925,3.85557,1
43.62026,3.85563,1
43.62032,3.85601,1
43.59062,3.85626,1
43.62909,3.85688,1
43.58987,3.85704,1
43.61486,3.85706,1
43.58922,3.85707,1
43.6091,3.85727,1
43.59121,3.85752,1
43.58283,3.8578,1
43.60681,3.85806,1
43.52559,3.85814,1
43.61145,3.85893,1
43.62679,3.85936,1
43.53512,3.8594,1
43.6003,3.85951,1
43.6265,3.85957,1
43.62637,3.85975,1
43.61159,3.85989,1
43.5853,3.8599,1
43.60516,3.85992,1
43.74646,3.86002,1
43.59357,3.86011,1
43.61672,3.86033,1
43.62497,3.86126,1
43.61704,3.86127,1
43.62382,3.86211,1
43.62398,3.86217,1
43.62436,3.8627,1
43.60168,3.86295,1
43.58217,3.86353,1
43.60281,3.86353,1
43.58243,3.86369,1
43.59743,3.86419,1
43.61491,3.86435,1
43.53356,3.86442,1
43.61115,3.86449,1
43.62065,3.86481,1
43.6056,3.86485,1
43.60523,3.86494,1
43.60408,3.86513,1
43.62639,3.86614,1
43.60295,3.86616,1
43.60209,3.86643,1
43.61197,3.86644,1
43.60255,3.86665,1
43.76671,3.86684,1
43.60217,3.86698,1
43.63711,3.86702,1
43.60038,3.86746,1
43.6008,3.86776,1
43.60007,3.86786,1
43.60247,3.86799,1
43.73273,3.86803,1
43.60021,3.86807,1
43.61236,3.86831,1
43.72201,3.86853,1
43.6014,3.86857,1
43.60152,3.8687,1
43.58183,3.86872,1
43.72211,3.86898,1
43.6269,3.86961,1
43.62694,3.86961,1
43.5931,3.8697,1
43.62682,3.86976,1
43.6076,3.86982,1
43.6355,3.86986,1
43.60496,3.86993,1
43.62691,3.87072,1
43.73016,3.87108,1
43.59791,3.87115,1
43.61118,3.872,1
43.61113,3.87209,1
43.62322,3.87222,1
43.56925,3.87254,1
43.60443,3.87366,1
43.59806,3.87393,1
43.60544,3.87394,1
43.61637,3.87451,1
43.60921,3.87471,1
43.59957,3.87481,1
43.58582,3.87491,1
43.62152,3.87506,1
43.57452,3.87565,1
43.60559,3.87565,1
43.60658,3.87619,1
43.58579,3.8764,1
43.60676,3.87668,1
43.63426,3.87689,1
43.60002,3.87691,1
43.62611,3.87726,1
43.61527,3.87747,1
43.6002,3.87777,1
43.60702,3.87841,1
43.57936,3.8786,1
43.61414,3.88024,1
43.597,3.88057,1
43.60702,3.88073,1
43.59988,3.88079,1
43.60768,3.88139,1
43.61492,3.88165,1
43.62214,3.8818,1
43.5853,3.88207,1
43.60339,3.8825,1
43.60096,3.88304,1
43.6145,3.88306,1
43.58669,3.88314,1
43.59695,3.88332,1
43.65073,3.8835,1
43.61443,3.88378,1
43.601,3.8846,1
43.58911,3.88475,1
43.61644,3.88478,1
43.62272,3.88478,1
43.63931,3.88518,1
43.61912,3.8865,1
43.59694,3.88656,1
43.5833,3.88729,1
43.6055,3.88752,1
43.53944,3.8879,1
43.59506,3.88827,1
43.58581,3.88859,1
43.59409,3.88894,1
43.5882,3.88903,1
43.59853,3.88914,1
43.62475,3.88917,1
43.5935,3.88937,1
43.61219,3.88947,1
43.58718,3.8895,1
43.81402,3.88982,1
43.61417,3.89035,1
43.60699,3.89041,1
43.60329,3.89057,1
43.60636,3.89108,1
43.57257,3.89206,1
43.59926,3.89345,1
43.59976,3.89391,1
43.60575,3.89391,1
43.56284,3.89399,1
43.6059,3.8941,1
43.58668,3.89433,1
43.59655,3.89447,1
43.60022,3.89455,1
43.5719,3.89512,1
43.54521,3.89578,1
43.60016,3.89621,1
43.60027,3.89642,1
43.59556,3.89675,1
43.57901,3.89796,1
43.60613,3.89835,1
43.58113,3.89836,1
43.61069,3.89868,1
43.60257,3.89886,1
43.59713,3.89992,1
43.57219,3.90195,1
43.61761,3.90223,1
43.59825,3.90309,1
43.61342,3.90496,1
43.60815,3.90636,1
43.53437,3.90657,1
43.6146,3.90765,1
43.5685,3.90802,1
43.63119,3.90828,1
43.59084,3.90842,1
43.58438,3.90873,1
43.5911,3.90886,1
43.60322,3.90945,1
43.6032,3.90973,1
43.61617,3.91037,1
43.64758,3.91102,1
43.63761,3.91119,1
43.66319,3.91183,1
43.61821,3.91269,1
43.60853,3.9128,1
43.62748,3.9128,1
43.73279,3.91286,1
43.60809,3.91304,1
43.60884,3.91342,1
43.60916,3.91436,1
43.60206,3.91675,1
43.53427,3.91922,1
43.53186,3.92006,1
43.58532,3.92007,1
43.61136,3.92018,1
43.58632,3.92227,1
43.60716,3.92472,1
43.68835,3.92753,1
43.58568,3.929,1
43.64654,3.92993,1
43.61379,3.93011,1
43.57703,3.9332,1
43.6123,3.935,1
43.57781,3.93536,1
43.57767,3.93549,1
43.55924,3.93634,1
43.65302,3.93636,1
43.61291,3.937,1
43.57837,3.93701,1
43.60869,3.9373,1
43.63698,3.94028,1
43.53483,3.94209,1
43.67263,3.94447,1
43.64394,3.95014,1
43.55841,3.95496,1
43.56567,3.95754,1
43.74427,3.95945,1
43.6361,3.9619,1
43.6607,3.9626,1
43.55731,3.96356,1
43.60401,3.96373,1
43.55755,3.96408,1
43.6352,3.9669,1
43.63358,3.96951,1
43.66771,3.97509,1
43.66803,3.97571,1
43.6152,3.97863,1
43.66265,3.97897,1
43.67156,3.97978,1
43.67692,3.98377,1
43.67778,3.9838,1
43.65393,3.9844,1
43.61824,3.98581,1
43.73552,3.99037,1
43.65494,3.99357,1
43.60113,3.99379,1
43.60398,3.99837,1
43.6547,4.00009,1
43.55356,4.00446,1
43.627,4.00924,1
43.62717,4.00959,1
43.65809,4.01247,1
43.65873,4.01534,1
43.69902,4.02032,1
43.62195,4.02196,1
43.70444,4.02522,1
43.6726,4.02681,1
43.67775,4.03132,1
43.66297,4.03178,1
43.62708,4.03275,1
43.55709,4.03535,1
43.5615,4.0366,1
43.69723,4.03768,1
43.69565,4.03784,1
43.6651,4.03897,1
43.71523,4.04654,1
43.69141,4.05779,1
43.66938,4.06883,1
43.64808,4.06909,1
43.7509,4.06935,1
43.64923,4.07343,1
43.56127,4.07699,1
43.57089,4.0787,1
43.69286,4.08016,1
43.56264,4.08031,1
43.56085,4.08181,1
43.74504,4.08211,1
43.55968,4.08276,1
43.56157,4.08356,1
43.5597,4.08904,1
43.65809,4.11294,1
43.65721,4.1139,1
43.70258,4.11622,1
43.70257,4.11639,1
43.7027,4.1165,1
43.61993,4.1172,1
43.70815,4.11752,1
43.66505,4.12066,1
43.67722,4.12084,1
43.68655,4.1231,1
43.70947,4.12552,1
43.67658,4.12964,1
43.67288,4.13129,1
43.73216,4.13701,1
43.65979,4.138,1
43.71747,4.13888,2
43.64969,4.13987,1
43.6665,4.14088,1
43.67252,4.14161,1
43.66879,4.14355,1
43.67561,4.15681,1
43.64863,4.16692,1
43.66317,4.16716,1
43.66325,4.17028,1
43.66833,4.17504,1
43.66343,4.17861,1
43.65952,4.18069,1
43.65741,4.18189,1
